title,info,picture,isFake
Cobol,"Is a compiled English-like computer programming language designed for business use. It is imperative, procedural and, since 2002, object-oriented.","http://a1.files.readwrite.com/image/upload/c_fit,cs_srgb,w_620/MTIyMzI4OTAwOTY4ODc0NTk4.png",0
Python,"Python is a widely used general-purpose, high-level programming language, supports multiple programming paradigms, including object-oriented, imperative and functional programming or procedural styles.",https://libuntu.files.wordpress.com/2015/09/python-logo.jpg,0
Java,"Java is a general-purpose computer programming language that is concurrent, class-based, object-oriented, and specifically designed to have as few implementation dependencies as possible. ",http://www.arturviader.com/images/java.jpg,0
JavaScript,"JavaScript is a high level, dynamic, untyped, and interpreted programming language. It has been standardized in the ECMAScript language specification. Alongside HTML and CSS, it is one of the three essential technologies of World Wide Web content production.",http://managementscience.biz/wp-content/uploads/2014/09/javascript-logo-png.png,0
Pascal,"Pascal is a historically influential imperative and procedural programming language, designed in 1968–1969 and published in 1970 by Niklaus Wirth as a small and efficient language intended to encourage good programming practices using structured programming and data structuring.",http://i1093.photobucket.com/albums/i428/aanniecake/pascal1.jpg,0
Php,Is a server-side scripting language designed for web development but also used as a general-purpose programming language.,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/PHP_Logo.png/260px-PHP_Logo.png,0
POO,"It is an imperative programming language, is generally used in artificial intelligence and can become twice as fast as java.",http://casamadrugada.net/wp-content/uploads/2012/08/POO1.jpg,1
C9,Is an American sports organization.,https://upload.wikimedia.org/wikipedia/en/thumb/a/a7/Cloud9_team_logo.jpg/220px-Cloud9_team_logo.jpg,1
AngularJS,Is an open-source web application framework maintained by Google and by a community of individual developers and corporations to address many of the challenges encountered in developing single-page applications.,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/AngularJS_logo.svg/250px-AngularJS_logo.svg.png,0
Jquery,Is a cross-platform JavaScript library designed to simplify the client-side scripting of HTML.,https://pbs.twimg.com/profile_images/59268975/jquery_avatar_400x400.png,0
NetBeans,Is a software development platform written in Java.,https://upload.wikimedia.org/wikipedia/en/thumb/0/01/NetBeans.svg/220px-NetBeans.svg.png,0
Eclipse,"Is a general-purpose, imperative computer programming language, supporting structured programming, lexical variable scope and recursion, while a static type system prevents many unintended operations.",https://upload.wikimedia.org/wikipedia/en/thumb/5/55/Eclipse-logo-2014.svg/200px-Eclipse-logo-2014.svg.png,1
C++,Is a general-purpose programming language.,https://www.planet-source-code.com/vb/2010Redesign/images/LangugeHomePages/CPlusPlus.jpg,0
Django,"Is a high-level Python Web framework that encourages rapid development and clean, pragmatic design. Built by experienced developers, it takes care of much of the hassle of Web development, so you can focus on writing your app without needing to reinvent the wheel. It’s free and open source.",http://static01.mediaite.com/med/wp-content/uploads/2012/12/Django-Unchained-wallpapers-1920x1200-2.jpeg,1
